,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,nikolskoye,90,RU,1604005593,93,59.7,30.79,50.0,2.24
1,tasiilaq,100,GL,1604005415,96,65.61,-37.64,26.56,7.16
2,taiyuan,0,CN,1604005594,57,37.87,112.56,33.8,1.63
3,ribeira grande,75,PT,1604005594,94,38.52,-28.7,68.0,19.46
4,bethel,100,US,1604005377,96,41.37,-73.41,45.0,3.0
5,hermanus,1,ZA,1604005594,87,-34.42,19.23,46.99,8.34
6,saint george,1,US,1604005595,15,37.1,-113.58,73.0,0.13
7,yaan,43,NG,1604005595,80,7.38,8.57,78.1,6.24
8,albany,100,US,1604005315,90,42.6,-73.97,45.0,4.18
9,aktau,0,KZ,1604005595,45,43.65,51.2,46.4,15.66
10,mandalgovi,100,MN,1604005529,71,45.76,106.27,35.58,8.75
11,hilo,75,US,1604005541,62,19.73,-155.09,84.2,5.82
12,tuktoyaktuk,38,CA,1604005388,93,69.45,-133.04,6.17,6.17
13,ushuaia,40,AR,1604005595,70,-54.8,-68.3,46.4,27.51
14,khromtau,0,KZ,1604005365,69,50.25,58.43,37.81,6.44
15,poum,79,NC,1604005595,69,-20.23,164.02,76.73,12.55
16,dikson,100,RU,1604005421,92,73.51,80.55,6.64,24.25
17,mataura,100,NZ,1604005595,82,-46.19,168.86,62.01,1.01
18,atuona,78,PF,1604005595,69,-9.8,-139.03,78.17,18.05
19,pevek,100,RU,1604005477,93,69.7,170.31,18.86,8.59
20,avarua,100,CK,1604005438,73,-21.21,-159.78,77.0,9.17
21,tiksi,100,RU,1604005405,94,71.69,128.87,5.95,7.49
22,san cristobal,40,VE,1604005596,58,7.77,-72.22,87.8,9.17
23,namibe,2,AO,1604005596,70,-15.2,12.15,70.25,6.89
24,vaini,40,TO,1604005334,69,-21.2,-175.2,75.2,9.17
25,yellowknife,2,CA,1604005481,91,62.46,-114.35,23.0,6.38
26,korla,93,CN,1604005596,82,41.76,86.15,44.01,4.0
27,katsuura,75,JP,1604005596,47,35.13,140.3,59.0,17.22
28,gobabis,98,NA,1604005596,42,-22.45,18.97,73.44,8.08
29,touros,20,BR,1604005596,74,-5.2,-35.46,80.6,10.29
30,bredasdorp,5,ZA,1604005402,58,-34.53,20.04,53.6,8.05
31,punta arenas,40,CL,1604005597,46,-53.15,-70.92,53.6,33.33
32,hobart,75,AU,1604005526,82,-42.88,147.33,57.99,5.82
33,plouzane,90,FR,1604005597,93,48.38,-4.62,59.0,20.8
34,cherskiy,93,RU,1604005408,92,68.75,161.3,5.4,4.97
35,torbay,95,CA,1604005399,83,47.67,-52.73,39.99,3.0
36,riohacha,93,CO,1604005597,80,11.54,-72.91,83.19,8.81
37,port alfred,100,ZA,1604005597,73,-33.59,26.89,62.28,18.01
38,srednekolymsk,100,RU,1604005400,94,67.45,153.68,3.15,0.98
39,hithadhoo,18,MV,1604005487,75,-0.6,73.08,82.9,11.81
40,pisco,0,PE,1604005597,64,-13.7,-76.22,71.6,14.99
41,bria,83,CF,1604005597,97,6.54,21.99,69.8,3.38
42,jamestown,90,US,1604005316,100,42.1,-79.24,45.0,8.05
43,egvekinot,5,RU,1604005406,86,66.32,-179.17,13.24,2.75
44,vao,69,NC,1604005478,83,-22.67,167.48,73.44,20.18
45,kousseri,0,CM,1604005598,34,12.08,15.03,80.6,2.24
46,goba,3,ET,1604005598,85,7.02,39.98,47.5,3.0
47,east london,100,ZA,1604005372,83,-33.02,27.91,63.09,20.65
48,rikitea,57,PF,1604005598,76,-23.12,-134.97,74.86,11.92
49,hasaki,75,JP,1604005349,71,35.73,140.83,53.6,5.82
50,victoria,64,HK,1604005371,83,22.29,114.16,75.0,1.01
51,naujamiestis,40,LT,1604005598,100,55.69,24.15,44.6,5.23
52,rawson,0,AR,1604005598,41,-43.3,-65.1,58.57,15.21
53,gazalkent,0,UZ,1604005598,48,41.56,69.77,41.0,4.7
54,qaanaaq,11,GL,1604005373,72,77.48,-69.36,5.14,5.7
55,batagay,100,RU,1604005544,92,67.63,134.63,0.61,1.05
56,ngunguru,100,NZ,1604005583,78,-35.62,174.5,66.99,11.01
57,hodal,0,IN,1604005599,27,27.9,77.37,69.03,0.51
58,nabire,83,ID,1604005599,86,-3.37,135.48,74.82,4.74
59,aanekoski,90,FI,1604005599,100,62.69,25.82,42.8,4.7
60,virginia beach,90,US,1604005323,74,36.85,-75.98,82.99,20.8
61,adre,71,TD,1604005599,21,13.47,22.2,81.28,12.17
62,provideniya,0,RU,1604005329,67,64.38,-173.3,19.4,2.24
63,puerto ayora,20,EC,1604005409,73,-0.74,-90.35,77.0,13.87
64,kindu,98,CD,1604005599,95,-2.95,25.95,69.31,1.12
65,pervomayskoye,91,RU,1604005599,84,43.92,46.71,61.0,15.28
66,sechura,64,PE,1604005445,55,-5.56,-80.82,76.41,18.45
67,chokurdakh,99,RU,1604005599,93,70.63,147.92,-5.28,4.36
68,vardo,75,NO,1604005479,81,70.37,31.11,33.8,10.29
69,killam,66,CA,1604005600,51,52.78,-111.85,41.0,8.99
70,castro,100,BR,1604005504,91,-24.79,-50.01,61.66,7.09
71,labuhan,33,ID,1604005564,77,-6.88,112.21,81.21,8.14
72,novoaleksandrovsk,100,RU,1604005600,78,45.49,41.22,59.56,6.17
73,eureka,1,US,1604005420,44,40.8,-124.16,72.0,4.7
74,turukhansk,86,RU,1604005600,94,65.82,87.98,9.0,8.86
75,isangel,5,VU,1604005600,74,-19.55,169.27,77.7,15.82
76,zhigansk,99,RU,1604005552,91,66.77,123.37,-6.59,4.94
77,birin,0,NP,1604005600,54,26.89,88.07,58.33,5.99
78,naze,90,JP,1604005601,60,28.37,129.48,75.2,11.41
79,mayumba,83,GA,1604005601,88,-3.43,10.66,77.36,2.13
80,sitka,40,US,1604005443,87,57.05,-135.33,42.8,2.53
81,dunedin,100,NZ,1604005575,82,-45.87,170.5,57.99,7.0
82,kodiak,1,US,1604005491,64,57.79,-152.41,37.4,2.57
83,leningradskiy,100,RU,1604005404,88,69.38,178.42,16.29,11.34
84,berlevag,75,NO,1604005601,80,70.86,29.09,35.6,17.22
85,kot addu,0,PK,1604005601,82,30.47,70.97,68.0,4.56
86,mogok,100,MM,1604005577,89,22.92,96.5,66.97,0.58
87,barrow,90,US,1604005601,85,71.29,-156.79,14.0,11.41
88,mishan,0,CN,1604005601,92,45.55,131.88,31.39,13.47
89,bluff,100,NZ,1604005602,82,-46.6,168.33,62.01,1.01
90,noyabrsk,86,RU,1604005602,97,63.2,75.45,14.58,7.74
91,tabou,92,CI,1604005558,89,4.42,-7.35,77.61,6.2
92,ketchikan,40,US,1604005528,100,55.34,-131.65,42.8,4.25
93,tarko-sale,15,RU,1604005602,90,64.92,77.78,3.54,8.12
94,butaritari,48,KI,1604005602,73,3.07,172.79,82.18,12.08
95,creston,90,US,1604005602,60,41.06,-94.36,41.0,10.29
96,caravelas,100,BR,1604005543,81,-17.71,-39.25,77.81,12.24
97,tyrma,6,RU,1604005602,96,50.08,132.17,28.09,1.59
98,mahebourg,6,MU,1604005409,67,-20.41,57.7,69.01,8.01
99,mackay,0,AU,1604005541,94,-21.15,149.2,69.01,5.82
100,geraldton,53,AU,1604005326,82,-28.77,114.6,64.4,3.36
101,saldanha,0,ZA,1604005520,70,-33.01,17.94,48.2,4.7
102,domoni,0,KM,1604005603,81,-12.26,44.53,77.13,3.85
103,stokmarknes,75,NO,1604005603,64,68.56,14.91,37.4,10.29
104,kismayo,82,SO,1604005603,79,-0.36,42.55,79.5,11.32
105,bengkulu,86,ID,1604005603,87,-3.8,102.27,75.15,3.85
106,lolotique,20,SV,1604005603,66,13.55,-88.35,89.6,2.21
107,busselton,1,AU,1604005603,47,-33.65,115.33,57.99,13.06
108,nanortalik,100,GL,1604005379,95,60.14,-45.24,30.72,13.89
109,ilulissat,20,GL,1604005603,72,69.22,-51.1,15.8,6.93
110,lethem,61,GY,1604005604,46,3.38,-59.8,93.61,6.53
111,beringovskiy,0,RU,1604005604,85,63.05,179.32,24.31,7.56
112,auki,100,SB,1604005539,87,-8.77,160.7,76.89,5.5
113,baran,10,IN,1604005604,26,25.1,76.52,70.16,1.97
114,turan,75,VN,1604005604,100,16.07,108.22,77.0,2.95
115,morristown,75,US,1604005604,65,36.21,-83.29,77.0,11.41
116,aykhal,93,RU,1604005604,89,66.0,111.5,-7.55,3.02
117,carbonia,40,IT,1604005604,87,39.17,8.52,60.8,6.93
118,luderitz,42,NA,1604005604,72,-26.65,15.16,59.81,27.04
119,bambous virieux,6,MU,1604005604,67,-20.34,57.76,69.01,7.0
120,cabo san lucas,5,MX,1604005604,51,22.89,-109.91,82.99,12.75
121,arraial do cabo,90,BR,1604005604,94,-22.97,-42.03,77.0,4.7
122,ampere,100,BR,1604005604,87,-25.91,-53.47,65.68,6.98
123,marsa matruh,0,EG,1604005605,56,31.35,27.25,71.6,6.93
124,puri,75,IN,1604005605,60,19.8,85.85,75.29,10.33
125,bam,0,IR,1604005605,28,29.11,58.36,60.94,8.86
126,balikpapan,95,ID,1604005605,88,-1.27,116.83,76.66,5.23
127,lubbock,1,US,1604005605,42,33.6,-101.83,57.99,10.29
128,najran,0,SA,1604005437,31,17.49,44.13,64.4,2.24
129,lavrentiya,0,RU,1604005493,90,65.58,-171.0,23.32,7.7
130,soanierana ivongo,30,MG,1604005605,86,-16.92,49.58,71.98,8.84
131,upernavik,100,GL,1604005327,89,72.79,-56.15,22.37,2.71
132,lorengau,97,PG,1604005510,79,-2.02,147.27,81.7,7.74
133,chino valley,0,US,1604005605,19,34.76,-112.45,72.0,3.0
134,kupang,48,ID,1604005605,77,-10.17,123.58,78.91,4.03
135,severo-kurilsk,76,RU,1604005485,81,50.68,156.12,41.38,6.44
136,iqaluit,70,CA,1604005605,90,63.75,-68.51,6.76,9.37
137,broken hill,0,AU,1604005431,87,-31.95,141.43,50.0,10.29
138,new norfolk,11,AU,1604005402,74,-42.78,147.06,57.99,1.61
139,margate,100,GB,1604005606,84,51.38,1.39,59.0,5.99
140,oranjemund,0,NA,1604005606,77,-28.55,16.43,58.01,23.62
141,cape town,0,ZA,1604005606,66,-33.93,18.42,53.01,2.24
142,padang,81,ID,1604005435,71,-0.95,100.35,77.79,4.03
143,bandarbeyla,43,SO,1604005535,82,9.49,50.81,78.75,11.05
144,vagur,100,FO,1604005606,81,61.47,-6.81,49.06,26.26
145,namatanai,98,PG,1604005606,85,-3.67,152.43,78.6,6.87
146,sao felix do xingu,79,BR,1604005329,54,-6.64,-51.99,88.27,1.74
147,ishigaki,92,JP,1604005606,81,24.34,124.16,77.09,25.81
148,wanning,40,CN,1604005606,90,18.8,110.4,76.89,11.88
149,paita,31,PE,1604005606,71,-5.09,-81.11,69.73,18.3
150,ixtapa,75,MX,1604005606,66,20.7,-105.2,86.0,11.41
151,albanel,85,CA,1604005606,90,48.88,-72.45,27.52,7.78
152,erenhot,0,CN,1604005335,56,43.65,111.98,40.3,9.64
153,kaitangata,100,NZ,1604005403,82,-46.28,169.85,57.99,1.99
154,carutapera,13,BR,1604005607,75,-1.2,-46.02,81.45,8.55
155,berezovyy,7,RU,1604005607,93,51.67,135.7,29.16,2.51
156,clyde river,100,CA,1604005392,95,70.47,-68.59,19.87,11.99
157,salalah,0,OM,1604005607,65,17.02,54.09,78.8,3.36
158,zhanaozen,43,KZ,1604005607,54,43.3,52.8,44.08,22.68
159,bathsheba,40,BB,1604005607,94,13.22,-59.52,77.0,28.86
160,ugoofaaru,20,MV,1604005607,74,5.67,73.0,82.26,9.78
161,los llanos de aridane,75,ES,1604005607,68,28.66,-17.92,71.6,13.87
162,constitucion,0,CL,1604005565,53,-35.33,-72.42,62.62,14.16
163,novopokrovka,0,UA,1604005607,75,49.84,36.55,44.6,8.95
164,kapaa,1,US,1604005328,61,22.08,-159.32,81.0,2.59
165,puerto baquerizo moreno,75,EC,1604005348,83,-0.9,-89.6,73.4,9.17
166,tuatapere,100,NZ,1604005607,82,-46.13,167.68,62.01,1.01
167,dali,70,CN,1604005607,83,25.7,100.18,55.56,1.36
168,fomboni,0,KM,1604005607,73,-12.28,43.74,79.48,3.27
169,sola,90,VU,1604005455,78,-13.88,167.55,81.0,18.16
